ID Transaksi,Produk,Kategori,Satuan,Kuantitas,Harga Satuan,Total Harga,Tanggal Pembelian
T1857,Sambungan PVC,Bahan Logam dan PVC,Buah,4,11000,44000,1/6/2024
T1118,Semen,Material Konstruksi,Zak,4,63000,252000,1/1/2024
T1174,Pipa PVC,Bahan Logam dan PVC,Batang,10,50000,500000,1/9/2024
T1664,Pasir,Material Konstruksi,Meter Kubik,5,447000,2235000,1/1/2024
T1518,Kuas,Alat,Buah,10,18000,180000,1/4/2024
T1483,Sambungan PVC,Bahan Logam dan PVC,Buah,5,11000,55000,1/7/2024
T1456,Besi Beton,Bahan Logam dan PVC,Batang,3,101000,303000,1/8/2024
T1728,Semen,Material Konstruksi,Zak,7,63000,441000,1/8/2024
T1643,Pipa PVC,Bahan Logam dan PVC,Batang,6,50000,300000,1/8/2024
T1156,Cat Tembok,Cat,Kaleng,9,232000,2088000,1/2/2024
T1515,Pasir,Material Konstruksi,Meter Kubik,7,447000,3129000,1/8/2024
T1607,Sambungan PVC,Bahan Logam dan PVC,Buah,7,11000,77000,1/4/2024
T1232,Pasir,Material Konstruksi,Meter Kubik,6,447000,2682000,1/1/2024
T1025,Kuas,Alat,Buah,10,18000,180000,1/9/2024
T1455,Cat Tembok,Cat,Kaleng,5,232000,1160000,1/8/2024
T1563,Besi Beton,Bahan Logam dan PVC,Batang,1,101000,101000,1/6/2024
T1558,Pipa PVC,Bahan Logam dan PVC,Batang,6,50000,300000,1/9/2024
T1004,Pasir,Material Konstruksi,Meter Kubik,10,447000,4470000,1/4/2024
T1458,Besi Beton,Bahan Logam dan PVC,Batang,9,101000,909000,1/8/2024
T1945,Batu Bata,Material Konstruksi,Buah,1,1000,1000,1/6/2024
T1276,Pasir,Material Konstruksi,Meter Kubik,10,447000,4470000,1/5/2024
T1597,Batu Bata,Material Konstruksi,Buah,6,1000,6000,1/2/2024
T1519,Cat Tembok,Cat,Kaleng,6,232000,1392000,1/1/2024
T1862,Semen,Material Konstruksi,Zak,2,63000,126000,1/6/2024
T1559,Sambungan PVC,Bahan Logam dan PVC,Buah,4,11000,44000,1/8/2024
T1273,Sambungan PVC,Bahan Logam dan PVC,Buah,5,11000,55000,1/3/2024
T1869,Kuas,Alat,Buah,7,18000,126000,1/6/2024
T1619,Pasir,Material Konstruksi,Meter Kubik,10,447000,4470000,1/3/2024
T1618,Pasir,Material Konstruksi,Meter Kubik,1,447000,447000,1/5/2024
T1519,Pasir,Material Konstruksi,Meter Kubik,2,447000,894000,1/8/2024
T2062,Besi Beton,Bahan Logam dan PVC,Batang,1,101000,101000,1/1/2024
T1753,Besi Beton,Bahan Logam dan PVC,Batang,8,101000,808000,1/6/2024
T1420,Batu Bata,Material Konstruksi,Buah,9,1000,9000,1/4/2024
T1170,Cat Kayu,Cat,Kaleng,10,89000,890000,1/5/2024
T1871,Pipa PVC,Bahan Logam dan PVC,Batang,10,50000,500000,1/2/2024
T1943,Kuas,Alat,Buah,8,18000,144000,1/6/2024
T1348,Cat Kayu,Cat,Kaleng,9,89000,801000,1/3/2024
T1666,Besi Beton,Bahan Logam dan PVC,Batang,9,101000,909000,1/2/2024
T1600,Cat Tembok,Cat,Kaleng,1,232000,232000,1/7/2024
T1979,Semen,Material Konstruksi,Zak,3,63000,189000,1/4/2024
T1717,Cat Kayu,Cat,Kaleng,3,89000,267000,1/1/2024
T1860,Pasir,Material Konstruksi,Meter Kubik,4,447000,1788000,1/4/2024
T1323,Cat Kayu,Cat,Kaleng,2,89000,178000,1/1/2024
T1153,Pasir,Material Konstruksi,Meter Kubik,1,447000,447000,1/4/2024
T1314,Besi Beton,Bahan Logam dan PVC,Batang,7,101000,707000,1/9/2024
T1353,Sambungan PVC,Bahan Logam dan PVC,Buah,5,11000,55000,1/8/2024
T1708,Sambungan PVC,Bahan Logam dan PVC,Buah,4,11000,44000,1/8/2024
T1098,Cat Tembok,Cat,Kaleng,5,232000,1160000,1/3/2024
T1326,Cat Tembok,Cat,Kaleng,7,232000,1624000,1/8/2024
T1461,Cat Kayu,Cat,Kaleng,5,89000,445000,1/4/2024
T1083,Kuas,Alat,Buah,10,18000,180000,1/2/2024
T1552,Besi Beton,Bahan Logam dan PVC,Batang,8,101000,808000,1/3/2024
T1474,Kuas,Alat,Buah,9,18000,162000,1/4/2024
T1706,Cat Tembok,Cat,Kaleng,5,232000,1160000,1/8/2024
T1993,Pipa PVC,Bahan Logam dan PVC,Batang,4,50000,200000,1/8/2024
T2027,Pipa PVC,Bahan Logam dan PVC,Batang,10,50000,500000,1/3/2024
T1432,Pasir,Material Konstruksi,Meter Kubik,9,447000,4023000,1/7/2024
T1627,Cat Kayu,Cat,Kaleng,8,89000,712000,1/7/2024
T1680,Cat Kayu,Cat,Kaleng,5,89000,445000,1/9/2024
T1679,Sambungan PVC,Bahan Logam dan PVC,Buah,6,11000,66000,1/7/2024
T1211,Kuas,Alat,Buah,6,18000,108000,1/3/2024
T1843,Cat Tembok,Cat,Kaleng,6,232000,1392000,1/6/2024
T1750,Cat Tembok,Cat,Kaleng,4,232000,928000,1/9/2024
T1305,Cat Kayu,Cat,Kaleng,7,89000,623000,1/5/2024
T1205,Sambungan PVC,Bahan Logam dan PVC,Buah,3,11000,33000,1/9/2024
T1503,Batu Bata,Material Konstruksi,Buah,4,1000,4000,1/6/2024
T1660,Cat Kayu,Cat,Kaleng,6,89000,534000,1/8/2024
T1937,Semen,Material Konstruksi,Zak,7,63000,441000,1/2/2024
T1009,Sambungan PVC,Bahan Logam dan PVC,Buah,1,11000,11000,1/6/2024
T1435,Sambungan PVC,Bahan Logam dan PVC,Buah,1,11000,11000,1/9/2024
T1752,Cat Kayu,Cat,Kaleng,5,89000,445000,1/1/2024
T1488,Sambungan PVC,Bahan Logam dan PVC,Buah,3,11000,33000,1/8/2024
T2024,Pasir,Material Konstruksi,Meter Kubik,8,447000,3576000,1/7/2024
T1762,Kuas,Alat,Buah,9,18000,162000,1/9/2024
T1261,Sambungan PVC,Bahan Logam dan PVC,Buah,6,11000,66000,1/4/2024
T1560,Besi Beton,Bahan Logam dan PVC,Batang,5,101000,505000,1/7/2024
T1962,Semen,Material Konstruksi,Zak,1,63000,63000,1/4/2024
T1368,Besi Beton,Bahan Logam dan PVC,Batang,2,101000,202000,1/3/2024
T1487,Besi Beton,Bahan Logam dan PVC,Batang,3,101000,303000,1/1/2024
T1727,Pasir,Material Konstruksi,Meter Kubik,7,447000,3129000,1/3/2024
T1992,Batu Bata,Material Konstruksi,Buah,9,1000,9000,1/1/2024
T1192,Pipa PVC,Bahan Logam dan PVC,Batang,3,50000,150000,1/5/2024
T1524,Batu Bata,Material Konstruksi,Buah,8,1000,8000,1/3/2024
T1451,Cat Tembok,Cat,Kaleng,10,232000,2320000,1/7/2024
T2045,Pasir,Material Konstruksi,Meter Kubik,8,447000,3576000,1/3/2024
T1839,Sambungan PVC,Bahan Logam dan PVC,Buah,5,11000,55000,1/7/2024
T1450,Pipa PVC,Bahan Logam dan PVC,Batang,7,50000,350000,1/2/2024
T1499,Kuas,Alat,Buah,3,18000,54000,1/8/2024
T2035,Semen,Material Konstruksi,Zak,1,63000,63000,1/5/2024
T1901,Cat Kayu,Cat,Kaleng,1,89000,89000,1/1/2024
T1845,Cat Kayu,Cat,Kaleng,9,89000,801000,1/5/2024
T2056,Batu Bata,Material Konstruksi,Buah,8,1000,8000,1/2/2024
T1725,Sambungan PVC,Bahan Logam dan PVC,Buah,3,11000,33000,1/5/2024
T1451,Pasir,Material Konstruksi,Meter Kubik,7,447000,3129000,1/1/2024
T1390,Besi Beton,Bahan Logam dan PVC,Batang,6,101000,606000,1/7/2024
T1127,Kuas,Alat,Buah,3,18000,54000,1/6/2024
T2052,Pipa PVC,Bahan Logam dan PVC,Batang,4,50000,200000,1/8/2024
T1360,Pasir,Material Konstruksi,Meter Kubik,10,447000,4470000,1/9/2024
T1201,Pipa PVC,Bahan Logam dan PVC,Batang,10,50000,500000,1/1/2024
T1680,Pasir,Material Konstruksi,Meter Kubik,6,447000,2682000,1/5/2024
T1424,Pasir,Material Konstruksi,Meter Kubik,10,447000,4470000,1/1/2024
T2018,Semen,Material Konstruksi,Zak,7,63000,441000,1/3/2024
T1207,Pasir,Material Konstruksi,Meter Kubik,9,447000,4023000,1/2/2024
T1165,Pipa PVC,Bahan Logam dan PVC,Batang,10,50000,500000,1/6/2024
T1218,Kuas,Alat,Buah,7,18000,126000,1/6/2024
T1949,Besi Beton,Bahan Logam dan PVC,Batang,9,101000,909000,1/4/2024
T1366,Cat Tembok,Cat,Kaleng,4,232000,928000,1/2/2024
T1917,Cat Kayu,Cat,Kaleng,2,89000,178000,1/3/2024
T1072,Batu Bata,Material Konstruksi,Buah,10,1000,10000,1/1/2024
T1099,Batu Bata,Material Konstruksi,Buah,9,1000,9000,1/2/2024
T1594,Besi Beton,Bahan Logam dan PVC,Batang,1,101000,101000,1/9/2024
T1946,Cat Kayu,Cat,Kaleng,6,89000,534000,1/5/2024
T1867,Pipa PVC,Bahan Logam dan PVC,Batang,6,50000,300000,1/2/2024
T1880,Sambungan PVC,Bahan Logam dan PVC,Buah,1,11000,11000,1/4/2024
T1082,Kuas,Alat,Buah,1,18000,18000,1/1/2024
T1045,Besi Beton,Bahan Logam dan PVC,Batang,9,101000,909000,1/6/2024
T1841,Batu Bata,Material Konstruksi,Buah,1,1000,1000,1/2/2024
T1366,Batu Bata,Material Konstruksi,Buah,2,1000,2000,1/4/2024
T1914,Sambungan PVC,Bahan Logam dan PVC,Buah,10,11000,110000,1/8/2024
T2064,Semen,Material Konstruksi,Zak,9,63000,567000,1/2/2024
T1038,Besi Beton,Bahan Logam dan PVC,Batang,8,101000,808000,1/1/2024
T2023,Cat Kayu,Cat,Kaleng,7,89000,623000,1/1/2024
T1298,Sambungan PVC,Bahan Logam dan PVC,Buah,5,11000,55000,1/2/2024
T1962,Pipa PVC,Bahan Logam dan PVC,Batang,2,50000,100000,1/1/2024
T1638,Pasir,Material Konstruksi,Meter Kubik,7,447000,3129000,1/3/2024
T1386,Besi Beton,Bahan Logam dan PVC,Batang,8,101000,808000,1/6/2024
T1602,Semen,Material Konstruksi,Zak,7,63000,441000,1/8/2024
T1720,Cat Tembok,Cat,Kaleng,10,232000,2320000,1/9/2024
T1294,Batu Bata,Material Konstruksi,Buah,9,1000,9000,1/1/2024
T1548,Semen,Material Konstruksi,Zak,6,63000,378000,1/9/2024
T1852,Pasir,Material Konstruksi,Meter Kubik,8,447000,3576000,1/2/2024
T1679,Batu Bata,Material Konstruksi,Buah,10,1000,10000,1/4/2024
T1091,Pasir,Material Konstruksi,Meter Kubik,5,447000,2235000,1/2/2024
T1511,Pasir,Material Konstruksi,Meter Kubik,6,447000,2682000,1/9/2024
T1255,Besi Beton,Bahan Logam dan PVC,Batang,6,101000,606000,1/7/2024
T1987,Batu Bata,Material Konstruksi,Buah,8,1000,8000,1/1/2024
T1973,Kuas,Alat,Buah,3,18000,54000,1/6/2024
T2061,Pasir,Material Konstruksi,Meter Kubik,9,447000,4023000,1/5/2024
T1713,Cat Kayu,Cat,Kaleng,1,89000,89000,1/5/2024
T1962,Pasir,Material Konstruksi,Meter Kubik,7,447000,3129000,1/4/2024
T1963,Cat Tembok,Cat,Kaleng,3,232000,696000,1/5/2024
T1139,Semen,Material Konstruksi,Zak,4,63000,252000,1/8/2024
T1276,Kuas,Alat,Buah,9,18000,162000,1/4/2024
T1543,Pipa PVC,Bahan Logam dan PVC,Batang,9,50000,450000,1/7/2024
T1621,Cat Kayu,Cat,Kaleng,4,89000,356000,1/1/2024
T1880,Kuas,Alat,Buah,1,18000,18000,1/5/2024
T2010,Sambungan PVC,Bahan Logam dan PVC,Buah,6,11000,66000,1/3/2024
T1424,Kuas,Alat,Buah,6,18000,108000,1/6/2024
T1086,Cat Kayu,Cat,Kaleng,10,89000,890000,1/1/2024
T1413,Kuas,Alat,Buah,3,18000,54000,1/9/2024
T1652,Batu Bata,Material Konstruksi,Buah,9,1000,9000,1/4/2024
T1596,Kuas,Alat,Buah,1,18000,18000,1/2/2024
T1619,Cat Kayu,Cat,Kaleng,6,89000,534000,1/2/2024
T1288,Batu Bata,Material Konstruksi,Buah,6,1000,6000,1/1/2024
T2019,Cat Tembok,Cat,Kaleng,10,232000,2320000,1/3/2024
T2034,Besi Beton,Bahan Logam dan PVC,Batang,2,101000,202000,1/7/2024
T1146,Kuas,Alat,Buah,6,18000,108000,1/6/2024
T1362,Pipa PVC,Bahan Logam dan PVC,Batang,8,50000,400000,1/9/2024
T1018,Semen,Material Konstruksi,Zak,1,63000,63000,1/3/2024
T1448,Pipa PVC,Bahan Logam dan PVC,Batang,10,50000,500000,1/2/2024
T1140,Pasir,Material Konstruksi,Meter Kubik,3,447000,1341000,1/6/2024
T1092,Semen,Material Konstruksi,Zak,2,63000,126000,1/1/2024
T1639,Cat Kayu,Cat,Kaleng,7,89000,623000,1/8/2024
T1304,Semen,Material Konstruksi,Zak,7,63000,441000,1/3/2024
T1816,Kuas,Alat,Buah,10,18000,180000,1/7/2024
T1528,Cat Kayu,Cat,Kaleng,1,89000,89000,1/9/2024
T1415,Cat Tembok,Cat,Kaleng,5,232000,1160000,1/9/2024
T1631,Batu Bata,Material Konstruksi,Buah,9,1000,9000,1/8/2024
T1335,Semen,Material Konstruksi,Zak,9,63000,567000,1/9/2024
T1629,Cat Tembok,Cat,Kaleng,3,232000,696000,1/9/2024
T1658,Kuas,Alat,Buah,3,18000,54000,1/2/2024
T1138,Sambungan PVC,Bahan Logam dan PVC,Buah,3,11000,33000,1/5/2024
T1657,Sambungan PVC,Bahan Logam dan PVC,Buah,8,11000,88000,1/3/2024
T1533,Pasir,Material Konstruksi,Meter Kubik,8,447000,3576000,1/6/2024
T1291,Sambungan PVC,Bahan Logam dan PVC,Buah,8,11000,88000,1/4/2024
T1684,Sambungan PVC,Bahan Logam dan PVC,Buah,1,11000,11000,1/2/2024
T1334,Pasir,Material Konstruksi,Meter Kubik,6,447000,2682000,1/4/2024
T1002,Cat Tembok,Cat,Kaleng,3,232000,696000,1/6/2024
T1573,Pipa PVC,Bahan Logam dan PVC,Batang,7,50000,350000,1/4/2024
T1618,Besi Beton,Bahan Logam dan PVC,Batang,10,101000,1010000,1/2/2024
T1347,Semen,Material Konstruksi,Zak,9,63000,567000,1/2/2024
T1249,Pipa PVC,Bahan Logam dan PVC,Batang,9,50000,450000,1/5/2024
T1484,Kuas,Alat,Buah,10,18000,180000,1/3/2024
T1894,Kuas,Alat,Buah,9,18000,162000,1/6/2024
T1990,Semen,Material Konstruksi,Zak,7,63000,441000,1/3/2024
T1803,Cat Kayu,Cat,Kaleng,10,89000,890000,1/5/2024
T1937,Cat Kayu,Cat,Kaleng,6,89000,534000,1/6/2024
T2063,Pipa PVC,Bahan Logam dan PVC,Batang,8,50000,400000,1/2/2024
T1513,Semen,Material Konstruksi,Zak,10,63000,630000,1/2/2024
T1790,Cat Tembok,Cat,Kaleng,10,232000,2320000,1/2/2024
T1504,Semen,Material Konstruksi,Zak,6,63000,378000,1/3/2024
T1060,Batu Bata,Material Konstruksi,Buah,3,1000,3000,1/1/2024
T1922,Cat Kayu,Cat,Kaleng,10,89000,890000,1/4/2024
T1998,Kuas,Alat,Buah,6,18000,108000,1/5/2024
T1886,Besi Beton,Bahan Logam dan PVC,Batang,7,101000,707000,1/6/2024
T1339,Pipa PVC,Bahan Logam dan PVC,Batang,4,50000,200000,1/1/2024
T1574,Pipa PVC,Bahan Logam dan PVC,Batang,1,50000,50000,1/6/2024
T1607,Batu Bata,Material Konstruksi,Buah,5,1000,5000,1/3/2024
T1689,Cat Kayu,Cat,Kaleng,8,89000,712000,1/6/2024
T1365,Sambungan PVC,Bahan Logam dan PVC,Buah,8,11000,88000,1/8/2024
T1103,Pipa PVC,Bahan Logam dan PVC,Batang,7,50000,350000,1/6/2024
T1330,Pasir,Material Konstruksi,Meter Kubik,2,447000,894000,1/1/2024
T1687,Batu Bata,Material Konstruksi,Buah,6,1000,6000,1/4/2024
T1350,Cat Tembok,Cat,Kaleng,3,232000,696000,1/1/2024
T1458,Cat Tembok,Cat,Kaleng,4,232000,928000,1/5/2024
T1507,Cat Tembok,Cat,Kaleng,6,232000,1392000,1/5/2024
T1165,Cat Tembok,Cat,Kaleng,6,232000,1392000,1/8/2024
T1991,Pasir,Material Konstruksi,Meter Kubik,1,447000,447000,1/4/2024
T1514,Kuas,Alat,Buah,10,18000,180000,1/5/2024
T1338,Cat Kayu,Cat,Kaleng,10,89000,890000,1/9/2024
T1682,Besi Beton,Bahan Logam dan PVC,Batang,3,101000,303000,1/2/2024
T1210,Sambungan PVC,Bahan Logam dan PVC,Buah,4,11000,44000,1/7/2024
T1694,Pipa PVC,Bahan Logam dan PVC,Batang,2,50000,100000,1/5/2024
T1779,Cat Kayu,Cat,Kaleng,3,89000,267000,1/2/2024
T1169,Besi Beton,Bahan Logam dan PVC,Batang,6,101000,606000,1/4/2024
T2037,Batu Bata,Material Konstruksi,Buah,9,1000,9000,1/2/2024
T1887,Kuas,Alat,Buah,6,18000,108000,1/7/2024
T1570,Cat Kayu,Cat,Kaleng,5,89000,445000,1/9/2024
T1457,Sambungan PVC,Bahan Logam dan PVC,Buah,6,11000,66000,1/6/2024
T1838,Cat Tembok,Cat,Kaleng,1,232000,232000,1/4/2024
T1405,Semen,Material Konstruksi,Zak,8,63000,504000,1/6/2024
T1092,Pasir,Material Konstruksi,Meter Kubik,1,447000,447000,1/2/2024
T1374,Besi Beton,Bahan Logam dan PVC,Batang,2,101000,202000,1/8/2024
T1165,Batu Bata,Material Konstruksi,Buah,4,1000,4000,1/3/2024
T1012,Pipa PVC,Bahan Logam dan PVC,Batang,10,50000,500000,1/2/2024
T1741,Cat Kayu,Cat,Kaleng,1,89000,89000,1/2/2024
T1875,Besi Beton,Bahan Logam dan PVC,Batang,6,101000,606000,1/8/2024
T2031,Batu Bata,Material Konstruksi,Buah,4,1000,4000,1/8/2024
T1627,Semen,Material Konstruksi,Zak,4,63000,252000,1/7/2024
T1943,Kuas,Alat,Buah,8,18000,144000,1/5/2024
T1930,Kuas,Alat,Buah,8,18000,144000,1/3/2024
T1464,Besi Beton,Bahan Logam dan PVC,Batang,5,101000,505000,1/7/2024
T1606,Sambungan PVC,Bahan Logam dan PVC,Buah,8,11000,88000,1/5/2024
T1944,Besi Beton,Bahan Logam dan PVC,Batang,7,101000,707000,1/1/2024
T1363,Cat Tembok,Cat,Kaleng,2,232000,464000,1/2/2024
T1727,Besi Beton,Bahan Logam dan PVC,Batang,2,101000,202000,1/4/2024
T1583,Cat Kayu,Cat,Kaleng,4,89000,356000,1/8/2024
T1359,Pipa PVC,Bahan Logam dan PVC,Batang,7,50000,350000,1/8/2024
T1038,Pipa PVC,Bahan Logam dan PVC,Batang,10,50000,500000,1/1/2024
T1100,Besi Beton,Bahan Logam dan PVC,Batang,4,101000,404000,1/6/2024
T1165,Besi Beton,Bahan Logam dan PVC,Batang,2,101000,202000,1/8/2024
T1789,Pipa PVC,Bahan Logam dan PVC,Batang,7,50000,350000,1/2/2024
T1191,Kuas,Alat,Buah,5,18000,90000,1/6/2024
T1734,Pipa PVC,Bahan Logam dan PVC,Batang,8,50000,400000,1/9/2024
T1180,Kuas,Alat,Buah,10,18000,180000,1/8/2024
T1789,Pasir,Material Konstruksi,Meter Kubik,9,447000,4023000,1/9/2024
T1971,Pasir,Material Konstruksi,Meter Kubik,3,447000,1341000,1/8/2024
T1830,Semen,Material Konstruksi,Zak,10,63000,630000,1/7/2024
T2055,Kuas,Alat,Buah,1,18000,18000,1/9/2024
T1980,Pipa PVC,Bahan Logam dan PVC,Batang,4,50000,200000,1/2/2024
T1443,Sambungan PVC,Bahan Logam dan PVC,Buah,6,11000,66000,1/7/2024
T1047,Sambungan PVC,Bahan Logam dan PVC,Buah,3,11000,33000,1/2/2024
T1186,Kuas,Alat,Buah,7,18000,126000,1/9/2024
T1978,Pipa PVC,Bahan Logam dan PVC,Batang,1,50000,50000,1/9/2024
T1844,Batu Bata,Material Konstruksi,Buah,4,1000,4000,1/6/2024
T1219,Batu Bata,Material Konstruksi,Buah,8,1000,8000,1/5/2024
T1757,Cat Tembok,Cat,Kaleng,3,232000,696000,1/2/2024
T1711,Batu Bata,Material Konstruksi,Buah,6,1000,6000,1/7/2024
T1005,Pipa PVC,Bahan Logam dan PVC,Batang,9,50000,450000,1/3/2024
T1826,Cat Tembok,Cat,Kaleng,1,232000,232000,1/5/2024
T1286,Besi Beton,Bahan Logam dan PVC,Batang,9,101000,909000,1/5/2024
T1382,Besi Beton,Bahan Logam dan PVC,Batang,7,101000,707000,1/6/2024
T1275,Besi Beton,Bahan Logam dan PVC,Batang,10,101000,1010000,1/4/2024
T1931,Semen,Material Konstruksi,Zak,6,63000,378000,1/1/2024
T1108,Semen,Material Konstruksi,Zak,1,63000,63000,1/7/2024
T1314,Pipa PVC,Bahan Logam dan PVC,Batang,8,50000,400000,1/7/2024
T1155,Cat Kayu,Cat,Kaleng,1,89000,89000,1/9/2024
T1757,Kuas,Alat,Buah,2,18000,36000,1/2/2024
T1012,Semen,Material Konstruksi,Zak,7,63000,441000,1/2/2024
T1605,Pasir,Material Konstruksi,Meter Kubik,5,447000,2235000,1/5/2024
T1935,Kuas,Alat,Buah,1,18000,18000,1/3/2024
T1713,Besi Beton,Bahan Logam dan PVC,Batang,9,101000,909000,1/5/2024
T1925,Kuas,Alat,Buah,4,18000,72000,1/1/2024
T1648,Sambungan PVC,Bahan Logam dan PVC,Buah,4,11000,44000,1/6/2024
T1139,Semen,Material Konstruksi,Zak,3,63000,189000,1/1/2024
T1903,Sambungan PVC,Bahan Logam dan PVC,Buah,9,11000,99000,1/8/2024
T2065,Semen,Material Konstruksi,Zak,8,63000,504000,1/3/2024
T1415,Kuas,Alat,Buah,1,18000,18000,1/5/2024
T1389,Cat Kayu,Cat,Kaleng,8,89000,712000,1/6/2024
T1492,Pasir,Material Konstruksi,Meter Kubik,6,447000,2682000,1/3/2024
T1226,Batu Bata,Material Konstruksi,Buah,8,1000,8000,1/3/2024
T1103,Pipa PVC,Bahan Logam dan PVC,Batang,1,50000,50000,1/3/2024
T2029,Kuas,Alat,Buah,1,18000,18000,1/3/2024
T2051,Pipa PVC,Bahan Logam dan PVC,Batang,6,50000,300000,1/2/2024
T1292,Batu Bata,Material Konstruksi,Buah,7,1000,7000,1/3/2024
T1176,Besi Beton,Bahan Logam dan PVC,Batang,4,101000,404000,1/4/2024
T1976,Besi Beton,Bahan Logam dan PVC,Batang,10,101000,1010000,1/9/2024
T1699,Besi Beton,Bahan Logam dan PVC,Batang,7,101000,707000,1/3/2024
T1795,Cat Tembok,Cat,Kaleng,8,232000,1856000,1/1/2024
T1608,Pasir,Material Konstruksi,Meter Kubik,8,447000,3576000,1/8/2024
T1899,Pipa PVC,Bahan Logam dan PVC,Batang,2,50000,100000,1/6/2024
T1471,Sambungan PVC,Bahan Logam dan PVC,Buah,8,11000,88000,1/7/2024
T1919,Sambungan PVC,Bahan Logam dan PVC,Buah,2,11000,22000,1/6/2024
T1915,Sambungan PVC,Bahan Logam dan PVC,Buah,10,11000,110000,1/8/2024
T1151,Cat Tembok,Cat,Kaleng,3,232000,696000,1/5/2024
T1463,Cat Tembok,Cat,Kaleng,10,232000,2320000,1/1/2024
T1161,Cat Tembok,Cat,Kaleng,9,232000,2088000,1/7/2024
T1139,Pasir,Material Konstruksi,Meter Kubik,4,447000,1788000,1/7/2024
T1182,Besi Beton,Bahan Logam dan PVC,Batang,7,101000,707000,1/1/2024
T1669,Batu Bata,Material Konstruksi,Buah,9,1000,9000,1/3/2024
T1851,Cat Kayu,Cat,Kaleng,9,89000,801000,1/1/2024
T1445,Besi Beton,Bahan Logam dan PVC,Batang,6,101000,606000,1/1/2024
T1249,Besi Beton,Bahan Logam dan PVC,Batang,6,101000,606000,1/4/2024
T1983,Sambungan PVC,Bahan Logam dan PVC,Buah,5,11000,55000,1/9/2024
T1624,Cat Kayu,Cat,Kaleng,6,89000,534000,1/7/2024
T1660,Besi Beton,Bahan Logam dan PVC,Batang,2,101000,202000,1/3/2024
T1191,Batu Bata,Material Konstruksi,Buah,8,1000,8000,1/3/2024
T1137,Pipa PVC,Bahan Logam dan PVC,Batang,2,50000,100000,1/9/2024
T1502,Besi Beton,Bahan Logam dan PVC,Batang,1,101000,101000,1/5/2024
T1548,Cat Kayu,Cat,Kaleng,7,89000,623000,1/8/2024
T1584,Batu Bata,Material Konstruksi,Buah,5,1000,5000,1/2/2024
T1818,Semen,Material Konstruksi,Zak,8,63000,504000,1/7/2024
T1731,Pipa PVC,Bahan Logam dan PVC,Batang,6,50000,300000,1/9/2024
T1673,Kuas,Alat,Buah,10,18000,180000,1/7/2024
T1896,Besi Beton,Bahan Logam dan PVC,Batang,9,101000,909000,1/7/2024
T1110,Batu Bata,Material Konstruksi,Buah,8,1000,8000,1/1/2024
T1693,Semen,Material Konstruksi,Zak,9,63000,567000,1/5/2024
T1677,Semen,Material Konstruksi,Zak,6,63000,378000,1/3/2024
T1528,Pipa PVC,Bahan Logam dan PVC,Batang,1,50000,50000,1/6/2024
T1848,Semen,Material Konstruksi,Zak,6,63000,378000,1/6/2024
T1654,Cat Tembok,Cat,Kaleng,8,232000,1856000,1/6/2024
T2015,Semen,Material Konstruksi,Zak,5,63000,315000,1/3/2024
T1981,Batu Bata,Material Konstruksi,Buah,5,1000,5000,1/1/2024
T1025,Kuas,Alat,Buah,9,18000,162000,1/5/2024
T1709,Besi Beton,Bahan Logam dan PVC,Batang,6,101000,606000,1/2/2024
T1784,Pasir,Material Konstruksi,Meter Kubik,4,447000,1788000,1/9/2024
T1018,Kuas,Alat,Buah,7,18000,126000,1/3/2024
T1121,Semen,Material Konstruksi,Zak,3,63000,189000,1/8/2024
T1362,Pipa PVC,Bahan Logam dan PVC,Batang,1,50000,50000,1/2/2024
T1799,Semen,Material Konstruksi,Zak,3,63000,189000,1/4/2024
T1397,Batu Bata,Material Konstruksi,Buah,10,1000,10000,1/5/2024
T1186,Besi Beton,Bahan Logam dan PVC,Batang,8,101000,808000,1/4/2024
T1757,Pasir,Material Konstruksi,Meter Kubik,3,447000,1341000,1/8/2024
T1961,Pipa PVC,Bahan Logam dan PVC,Batang,9,50000,450000,1/8/2024
T1875,Kuas,Alat,Buah,8,18000,144000,1/3/2024
T1975,Kuas,Alat,Buah,10,18000,180000,1/3/2024
T1881,Batu Bata,Material Konstruksi,Buah,2,1000,2000,1/5/2024
T1571,Cat Kayu,Cat,Kaleng,7,89000,623000,1/2/2024
T1349,Kuas,Alat,Buah,5,18000,90000,1/6/2024
T1493,Pipa PVC,Bahan Logam dan PVC,Batang,10,50000,500000,1/4/2024
T1287,Kuas,Alat,Buah,6,18000,108000,1/2/2024
T1607,Pipa PVC,Bahan Logam dan PVC,Batang,10,50000,500000,1/9/2024
T2029,Cat Kayu,Cat,Kaleng,10,89000,890000,1/8/2024
T1810,Cat Tembok,Cat,Kaleng,10,232000,2320000,1/1/2024
T1848,Besi Beton,Bahan Logam dan PVC,Batang,4,101000,404000,1/9/2024
T1415,Cat Tembok,Cat,Kaleng,5,232000,1160000,1/6/2024
T1149,Pipa PVC,Bahan Logam dan PVC,Batang,6,50000,300000,1/7/2024
T1075,Cat Tembok,Cat,Kaleng,9,232000,2088000,1/7/2024
T1112,Semen,Material Konstruksi,Zak,2,63000,126000,1/9/2024
T1713,Sambungan PVC,Bahan Logam dan PVC,Buah,7,11000,77000,1/3/2024
T1029,Cat Kayu,Cat,Kaleng,4,89000,356000,1/9/2024
T1367,Pasir,Material Konstruksi,Meter Kubik,8,447000,3576000,1/9/2024
